run_no,seed,train,dev,test
1,1326,0.6363636363636364,0.6518987341772152,0.5045045045045045
2,8045,1.0,0.6582278481012658,0.6779279279279279
3,8500,0.9991735537190084,0.6803797468354429,0.6418918918918919
4,8845,0.9669421487603306,0.6772151898734177,0.6283783783783784
5,2020,0.8942148760330578,0.6677215189873418,0.6463963963963963
6,2859,1.0,0.7246835443037974,0.6509009009009009
7,7054,0.9983471074380166,0.7056962025316456,0.6621621621621622
8,5493,0.9983471074380166,0.6930379746835443,0.6644144144144144
9,1979,0.9983471074380166,0.689873417721519,0.6846846846846847
10,1418,0.6553719008264463,0.6455696202531646,0.5045045045045045
11,286,1.0,0.7088607594936709,0.668918918918919
12,8057,0.9975206611570248,0.680379746835443,0.6779279279279279
13,4077,0.9950413223140496,0.6677215189873418,0.6711711711711712
14,5895,1.0,0.680379746835443,0.6509009009009009
15,9557,0.6537190082644628,0.629746835443038,0.5247747747747747
16,6713,0.9867768595041322,0.680379746835443,0.6801801801801802
17,749,0.9421487603305785,0.6962025316455697,0.5990990990990991
18,7469,0.7851239669421488,0.6772151898734177,0.581081081081081
19,8381,0.8760330578512396,0.7215189873417721,0.6644144144144144
20,6488,0.6462809917355372,0.6550632911392406,0.481981981981982
