run_no,seed,train,dev,test,test_adv
1,97,0.6235537190082645,0.5126582278481012,0.5315315315315315,0.49099099099099097
2,3187,0.4954545454545455,0.5253164556962026,0.4797297297297297,0.5540540540540541
3,8916,0.4764462809917355,0.5221518987341772,0.4707207207207208,0.509009009009009
4,229,0.9991735537190084,0.5158227848101266,0.7454954954954955,0.268018018018018
5,8663,0.5041322314049587,0.5268987341772152,0.5045045045045045,0.5112612612612613
6,2741,0.4789256198347108,0.5284810126582279,0.5045045045045045,0.4819819819819821
7,7318,0.5074380165289256,0.5268987341772152,0.4752252252252252,0.5022522522522522
8,4499,0.5103305785123967,0.5253164556962026,0.4684684684684685,0.5157657657657657
9,3006,0.4983471074380165,0.5268987341772152,0.472972972972973,0.5225225225225225
10,1067,0.5177685950413223,0.5205696202531646,0.4842342342342342,0.4887387387387387
11,240,0.5582644628099174,0.5253164556962026,0.45495495495495497,0.5292792792792793
12,961,0.5037190082644628,0.5237341772151899,0.4797297297297297,0.5472972972972973
13,8668,0.4942148760330578,0.5253164556962026,0.4977477477477478,0.5157657657657657
14,6862,0.9942148760330578,0.5411392405063291,0.7454954954954955,0.30855855855855857
15,4720,0.4847107438016529,0.5411392405063291,0.5180180180180181,0.545045045045045
16,722,0.3888429752066116,0.509493670886076,0.4662162162162162,0.5225225225225225
17,2483,0.4590909090909091,0.5126582278481012,0.5202702702702703,0.4527027027027027
18,8793,0.4880165289256198,0.5253164556962026,0.5045045045045045,0.5225225225225225
19,2631,0.5041322314049587,0.5316455696202531,0.5292792792792793,0.4752252252252252
20,9210,0.5008264462809917,0.5237341772151899,0.49099099099099097,0.5247747747747747
