run_no,seed,train,dev,test,test_adv
1,2384,0.5611570247933885,0.5,0.5405405405405406,0.4594594594594595
2,6346,0.7896694214876033,0.5,0.5495495495495496,0.4504504504504505
3,3095,0.8524793388429752,0.5,0.6486486486486487,0.35135135135135137
4,4344,0.5037190082644628,0.5,0.44819819819819817,0.5518018018018018
5,5484,0.912809917355372,0.5,0.6756756756756757,0.32432432432432434
6,6622,0.6871900826446281,0.5,0.4954954954954955,0.5045045045045045
7,3428,0.6334710743801653,0.5,0.5247747747747747,0.4752252252252252
8,4144,0.9392561983471074,0.5,0.6914414414414415,0.30855855855855857
9,8401,0.5632231404958677,0.5,0.4684684684684685,0.5315315315315315
10,1192,0.8607438016528925,0.5,0.6824324324324325,0.31756756756756754
11,9145,0.7665289256198347,0.5,0.5833333333333334,0.4166666666666667
12,2079,0.9450413223140496,0.5,0.6914414414414415,0.30855855855855857
13,7464,0.6376033057851239,0.5,0.4842342342342342,0.5157657657657657
14,1068,0.5371900826446281,0.5,0.4842342342342342,0.5157657657657657
15,6893,0.6599173553719008,0.5,0.5382882882882883,0.4617117117117117
16,8368,0.46198347107438015,0.5,0.527027027027027,0.47297297297297297
17,6149,0.4305785123966942,0.5,0.47072072072072074,0.5292792792792793
18,7982,0.4256198347107438,0.5,0.5067567567567568,0.49324324324324326
19,6410,0.8971074380165289,0.5,0.6599099099099099,0.3400900900900901
20,4654,0.5442148760330578,0.5,0.481981981981982,0.5180180180180181
