run_no,seed,train,dev,test
1,9078,0.9991735537190084,0.6993670886075949,0.6846846846846847
2,9706,0.9983471074380166,0.6930379746835443,0.6914414414414415
3,1322,0.993388429752066,0.7120253164556962,0.6373873873873874
4,7681,0.91900826446281,0.6645569620253164,0.6756756756756757
5,6213,0.9975206611570248,0.6962025316455697,0.6779279279279279
6,8150,0.6537190082644628,0.6518987341772152,0.5180180180180181
7,7720,0.9958677685950412,0.6867088607594937,0.6959459459459459
8,3461,0.6479338842975206,0.6613924050632911,0.5292792792792793
9,2355,0.9917355371900828,0.7246835443037974,0.6463963963963963
10,2015,0.9884297520661156,0.7183544303797469,0.6554054054054054
11,8425,0.9991735537190084,0.7088607594936709,0.6711711711711712
12,6774,0.9991735537190084,0.6645569620253164,0.7117117117117117
13,8813,0.9033057851239672,0.6772151898734177,0.6734234234234234
14,8950,0.9975206611570248,0.6962025316455697,0.6328828828828829
15,4259,0.9950413223140496,0.6740506329113924,0.7027027027027027
16,7876,0.9983471074380166,0.6930379746835443,0.6756756756756757
17,3139,0.9950413223140496,0.7088607594936709,0.6554054054054054
18,5339,0.9991735537190084,0.6835443037974683,0.7094594594594594
19,1238,0.9900826446280993,0.6867088607594937,0.6891891891891891
20,4558,0.6966942148760331,0.6329113924050633,0.5900900900900901
