run_no,seed,train,dev,test
1,1824,0.756198347107438,0.6582278481012658,0.5653153153153153
2,3745,0.8115702479338843,0.6740506329113924,0.5833333333333334
3,3210,0.7578512396694215,0.6329113924050633,0.5540540540540541
4,3219,0.9404958677685951,0.6518987341772152,0.5
5,6857,0.7768595041322314,0.6582278481012658,0.5315315315315315
6,1326,0.7355371900826446,0.6550632911392406,0.545045045045045
7,8045,0.7553719008264462,0.6677215189873418,0.545045045045045
8,8500,0.7479338842975206,0.6613924050632911,0.5540540540540541
9,8845,0.8206611570247934,0.6930379746835443,0.5585585585585585
10,2020,0.7619834710743801,0.6360759493670886,0.5495495495495496
11,2859,0.7099173553719008,0.6518987341772152,0.5585585585585585
12,7941,0.8909090909090909,0.6424050632911392,0.5382882882882883
13,826,0.7570247933884298,0.6613924050632911,0.5608108108108109
14,9065,0.7867768595041322,0.6613924050632911,0.5225225225225225
15,9540,0.7545454545454545,0.6708860759493671,0.5495495495495496
16,5042,0.7289256198347107,0.6392405063291139,0.5427927927927928
17,3515,0.7669421487603306,0.6455696202531646,0.5608108108108109
18,8022,0.7446280991735538,0.6740506329113924,0.49099099099099097
19,616,0.7884297520661157,0.6708860759493671,0.5405405405405406
20,437,0.8148760330578513,0.6677215189873418,0.536036036036036
