run_no,seed,train,dev,test
1,1824,0.7925619834710744,0.6329113924050633,0.5540540540540541
2,3745,0.7471074380165289,0.6550632911392406,0.5518018018018018
3,3210,0.7801652892561983,0.6582278481012658,0.5653153153153153
4,3219,0.8008264462809918,0.6645569620253164,0.5495495495495496
5,6857,0.7958677685950413,0.6487341772151899,0.5472972972972973
6,1326,0.843801652892562,0.6677215189873418,0.5427927927927928
7,8045,0.775206611570248,0.6455696202531646,0.536036036036036
8,8500,0.8702479338842976,0.6613924050632911,0.5788288288288288
9,8845,0.7743801652892562,0.6518987341772152,0.5472972972972973
10,2020,0.7330578512396694,0.6518987341772152,0.5585585585585585
11,2859,0.7479338842975206,0.6582278481012658,0.5720720720720721
12,7941,0.7388429752066116,0.6455696202531646,0.545045045045045
13,826,0.7983471074380165,0.6424050632911392,0.5878378378378378
14,9065,0.7727272727272727,0.6645569620253164,0.527027027027027
15,9540,0.7710743801652893,0.6582278481012658,0.5720720720720721
16,5042,0.8256198347107438,0.6677215189873418,0.5405405405405406
17,3515,0.7347107438016529,0.6518987341772152,0.5337837837837838
18,8022,0.7768595041322314,0.6645569620253164,0.5743243243243243
19,616,0.7735537190082644,0.6772151898734177,0.5225225225225225
20,437,0.8024793388429752,0.6645569620253164,0.536036036036036
