run_no,seed,train,dev,test
1,1824,0.7760330578512397,0.6772151898734177,0.5630630630630631
2,3745,0.9363636363636364,0.6708860759493671,0.527027027027027
3,3210,0.8,0.6645569620253164,0.5315315315315315
4,3219,0.7471074380165289,0.6487341772151899,0.5743243243243243
5,6857,0.7743801652892562,0.6360759493670886,0.5518018018018018
6,1326,0.7289256198347107,0.6582278481012658,0.5337837837837838
7,8045,0.8024793388429752,0.6487341772151899,0.5833333333333334
8,8500,0.7446280991735538,0.6582278481012658,0.5518018018018018
9,8845,0.7479338842975206,0.6582278481012658,0.5630630630630631
10,2020,0.784297520661157,0.6265822784810127,0.5472972972972973
11,2859,0.7851239669421488,0.680379746835443,0.5427927927927928
12,7941,0.724793388429752,0.6708860759493671,0.5427927927927928
13,826,0.7198347107438017,0.6708860759493671,0.5382882882882883
14,9065,0.9578512396694215,0.6708860759493671,0.5540540540540541
15,9540,0.7933884297520661,0.6645569620253164,0.527027027027027
16,5042,0.7338842975206612,0.6677215189873418,0.5135135135135135
17,3515,0.7338842975206612,0.6424050632911392,0.5472972972972973
18,8022,0.7669421487603306,0.6613924050632911,0.5855855855855856
19,616,0.7785123966942149,0.6582278481012658,0.5405405405405406
20,437,0.7735537190082644,0.6518987341772152,0.5472972972972973
