run_no,seed,train,dev,test
1,1824,0.7818181818181819,0.6582278481012658,0.5112612612612613
2,3745,0.6991735537190082,0.6582278481012658,0.5337837837837838
3,3210,0.7528925619834711,0.6487341772151899,0.5855855855855856
4,3219,0.7619834710743801,0.6424050632911392,0.5427927927927928
5,6857,0.7694214876033058,0.6455696202531646,0.545045045045045
6,1326,0.731404958677686,0.6487341772151899,0.5585585585585585
7,8045,0.8239669421487603,0.6518987341772152,0.5495495495495496
8,8500,0.8322314049586776,0.6835443037974683,0.5563063063063063
9,8845,0.7305785123966942,0.6550632911392406,0.5495495495495496
10,2020,0.7413223140495868,0.6677215189873418,0.5630630630630631
11,2859,0.771900826446281,0.6329113924050633,0.536036036036036
12,7941,0.9975206611570248,0.6170886075949367,0.5112612612612613
13,826,0.7677685950413223,0.6360759493670886,0.5675675675675675
14,9065,0.7859504132231405,0.6582278481012658,0.5720720720720721
15,9540,0.7677685950413223,0.6645569620253164,0.5495495495495496
16,5042,0.7776859504132232,0.6550632911392406,0.5540540540540541
17,3515,0.7520661157024794,0.6487341772151899,0.5653153153153153
18,8022,0.7818181818181819,0.6677215189873418,0.545045045045045
19,616,0.9884297520661157,0.6424050632911392,0.5382882882882883
20,437,0.7793388429752066,0.6677215189873418,0.5923423423423423
