run_no,seed,train,dev,test
1,1326,0.824793388429752,0.629746835443038,0.536036036036036
2,8045,0.8107438016528926,0.6424050632911392,0.5427927927927928
3,8500,0.8024793388429752,0.6677215189873418,0.5382882882882883
4,8845,0.9495867768595041,0.6677215189873418,0.5518018018018018
5,2020,0.8082644628099174,0.6424050632911392,0.5337837837837838
6,2859,0.9520661157024793,0.6677215189873418,0.5945945945945946
7,7941,0.8206611570247934,0.6360759493670886,0.5788288288288288
8,826,0.8231404958677686,0.6613924050632911,0.5743243243243243
9,9065,0.9487603305785124,0.6518987341772152,0.5382882882882883
10,9540,0.8231404958677686,0.6518987341772152,0.5675675675675675
11,5042,0.8090909090909091,0.6582278481012658,0.581081081081081
12,3515,0.7991735537190082,0.620253164556962,0.5743243243243243
13,8022,0.8107438016528926,0.6139240506329114,0.5653153153153153
14,616,0.8363636363636363,0.6392405063291139,0.5698198198198198
15,437,0.984297520661157,0.6613924050632911,0.5653153153153153
16,8697,0.9677685950413223,0.5759493670886076,0.5878378378378378
17,8043,0.9851239669421488,0.620253164556962,0.581081081081081
18,5862,0.9553719008264463,0.6170886075949367,0.5720720720720721
19,9885,0.8214876033057851,0.6360759493670886,0.5495495495495496
20,6402,0.859504132231405,0.6234177215189873,0.5698198198198198
