id,learning_rate,n_train_epochs,dropout_prob,train_batch_size,seed,train_acc,dev_acc,test_acc
0.0,0.1,3.0,0.0,16.0,42,0.7884297520661157,0.6645569620253164,0.5405405405405406
1.0,0.1,3.0,0.0,32.0,42,0.987603305785124,0.6677215189873418,0.5653153153153153
2.0,0.1,3.0,0.0,64.0,42,0.8049586776859504,0.6424050632911392,0.5292792792792793
3.0,0.1,3.0,0.1,16.0,42,0.7942148760330578,0.6613924050632911,0.5698198198198198
4.0,0.1,3.0,0.1,32.0,42,0.7966942148760331,0.6424050632911392,0.545045045045045
5.0,0.1,3.0,0.1,64.0,42,0.9859504132231405,0.6613924050632911,0.5900900900900901
6.0,0.1,5.0,0.0,16.0,42,0.7528925619834711,0.6455696202531646,0.5247747747747747
7.0,0.1,5.0,0.0,32.0,42,0.987603305785124,0.6677215189873418,0.5653153153153153
8.0,0.1,5.0,0.0,64.0,42,0.8049586776859504,0.6424050632911392,0.5292792792792793
9.0,0.1,5.0,0.1,16.0,42,0.7942148760330578,0.6613924050632911,0.5698198198198198
10.0,0.1,5.0,0.1,32.0,42,0.7966942148760331,0.6424050632911392,0.545045045045045
11.0,0.1,5.0,0.1,64.0,42,0.9859504132231405,0.6613924050632911,0.5900900900900901
12.0,0.09,3.0,0.0,16.0,42,0.7611570247933884,0.6613924050632911,0.5427927927927928
13.0,0.09,3.0,0.0,32.0,42,0.8371900826446281,0.6772151898734177,0.5608108108108109
14.0,0.09,3.0,0.0,64.0,42,0.8132231404958677,0.6329113924050633,0.5405405405405406
15.0,0.09,3.0,0.1,16.0,42,0.78099173553719,0.6487341772151899,0.5382882882882883
16.0,0.09,3.0,0.1,32.0,42,0.7925619834710744,0.6329113924050633,0.5495495495495496
17.0,0.09,3.0,0.1,64.0,42,0.9504132231404959,0.6613924050632911,0.5698198198198198
18.0,0.09,5.0,0.0,16.0,42,0.7611570247933884,0.6613924050632911,0.5427927927927928
19.0,0.09,5.0,0.0,32.0,42,0.8371900826446281,0.6772151898734177,0.5608108108108109
20.0,0.09,5.0,0.0,64.0,42,0.8132231404958677,0.6329113924050633,0.5405405405405406
21.0,0.09,5.0,0.1,16.0,42,0.78099173553719,0.6487341772151899,0.5382882882882883
22.0,0.09,5.0,0.1,32.0,42,0.7925619834710744,0.6329113924050633,0.5495495495495496
23.0,0.09,5.0,0.1,64.0,42,0.9504132231404959,0.6613924050632911,0.5698198198198198
24.0,0.08,3.0,0.0,16.0,42,0.7694214876033058,0.6329113924050633,0.5495495495495496
25.0,0.08,3.0,0.0,32.0,42,0.8371900826446281,0.6455696202531646,0.5630630630630631
26.0,0.08,3.0,0.0,64.0,42,0.8115702479338843,0.6424050632911392,0.5540540540540541
27.0,0.08,3.0,0.1,16.0,42,0.7768595041322314,0.6613924050632911,0.5315315315315315
28.0,0.08,3.0,0.1,32.0,42,0.8115702479338843,0.6329113924050633,0.545045045045045
29.0,0.08,3.0,0.1,64.0,42,0.9396694214876034,0.6582278481012658,0.5855855855855856
30.0,0.08,5.0,0.0,16.0,42,0.7694214876033058,0.6329113924050633,0.5495495495495496
31.0,0.08,5.0,0.0,32.0,42,0.8371900826446281,0.6455696202531646,0.5630630630630631
32.0,0.08,5.0,0.0,64.0,42,0.8115702479338843,0.6424050632911392,0.5540540540540541
33.0,0.08,5.0,0.1,16.0,42,0.7768595041322314,0.6613924050632911,0.5315315315315315
34.0,0.08,5.0,0.1,32.0,42,0.8115702479338843,0.6329113924050633,0.545045045045045
35.0,0.08,5.0,0.1,64.0,42,0.9396694214876034,0.6582278481012658,0.5855855855855856
13.0,0.09,3.0,0.0,32.0,1824,0.8239669421487603,0.6645569620253164,0.581081081081081
19.0,0.09,5.0,0.0,32.0,1824,0.9793388429752066,0.6645569620253164,0.5990990990990991
13.0,0.09,3.0,0.0,32.0,3745,0.8107438016528926,0.620253164556962,0.5022522522522522
19.0,0.09,5.0,0.0,32.0,3745,0.959504132231405,0.6424050632911392,0.5315315315315315
13.0,0.09,3.0,0.0,32.0,3210,0.9628099173553719,0.620253164556962,0.5788288288288288
19.0,0.09,5.0,0.0,32.0,3210,0.8198347107438017,0.6265822784810127,0.527027027027027
13.0,0.09,3.0,0.0,32.0,3219,0.8057851239669421,0.6740506329113924,0.5855855855855856
19.0,0.09,5.0,0.0,32.0,3219,0.990909090909091,0.6424050632911392,0.5698198198198198
13.0,0.09,3.0,0.0,32.0,6857,0.9553719008264463,0.6360759493670886,0.5540540540540541
19.0,0.09,5.0,0.0,32.0,6857,0.990909090909091,0.6360759493670886,0.5855855855855856
