run_no,seed,train,dev,test
1,1326,0.9338842975206612,0.5015822784810127,0.5022522522522522
2,8045,0.9297520661157025,0.5015822784810127,0.5033783783783784
3,8500,0.8314049586776859,0.49841772151898733,0.4988738738738739
4,8845,0.9632231404958678,0.5,0.5022522522522522
5,2020,0.9491735537190082,0.5,0.5
6,2859,0.952892561983471,0.5,0.5
7,7941,0.8640495867768595,0.5,0.4988738738738739
8,826,0.9458677685950413,0.5031645569620253,0.5011261261261262
9,9065,0.9433884297520662,0.495253164556962,0.5011261261261262
10,9540,0.9652892561983472,0.5015822784810127,0.5011261261261262
11,5042,0.9305785123966942,0.49841772151898733,0.5011261261261262
12,3515,0.937603305785124,0.5,0.49774774774774777
13,8022,0.8723140495867768,0.49841772151898733,0.5011261261261262
14,616,0.8574380165289256,0.5015822784810127,0.5011261261261262
15,437,0.9466942148760331,0.5,0.5011261261261262
16,8697,0.8322314049586776,0.49841772151898733,0.4988738738738739
17,8043,0.8623966942148761,0.5031645569620253,0.4988738738738739
18,5862,0.9338842975206612,0.5,0.5
19,9885,0.8735537190082645,0.49841772151898733,0.5
20,6402,0.9417355371900826,0.49683544303797467,0.5
