run_no,seed,train,dev,test
1,1326,0.9132231404958677,0.6487341772151899,0.5653153153153153
2,8045,0.7834710743801653,0.6487341772151899,0.5202702702702703
3,8500,0.868595041322314,0.6424050632911392,0.5563063063063063
4,8845,0.8694214876033057,0.6360759493670886,0.5540540540540541
5,2020,0.7867768595041322,0.6613924050632911,0.5630630630630631
6,2859,0.768595041322314,0.6329113924050633,0.5630630630630631
7,7941,0.9247933884297521,0.6360759493670886,0.581081081081081
8,826,0.8752066115702479,0.6677215189873418,0.5518018018018018
9,9065,0.8842975206611571,0.6487341772151899,0.5608108108108109
10,9540,0.7735537190082644,0.6487341772151899,0.5675675675675675
11,5042,0.7578512396694215,0.6234177215189873,0.5472972972972973
12,3515,0.7743801652892562,0.6265822784810127,0.5247747747747747
13,8022,0.9,0.6392405063291139,0.5698198198198198
14,616,0.8801652892561983,0.6455696202531646,0.581081081081081
15,437,0.8983471074380165,0.6455696202531646,0.6036036036036037
16,8697,0.9066115702479339,0.6772151898734177,0.581081081081081
17,8043,0.8950413223140495,0.6360759493670886,0.527027027027027
18,5862,0.8520661157024794,0.680379746835443,0.5472972972972973
19,9885,0.8413223140495868,0.6424050632911392,0.5495495495495496
20,6402,0.8545454545454545,0.6329113924050633,0.5698198198198198
