run_no,seed,train,dev,test
1,1824,0.9661157024793389,0.6424050632911392,0.5472972972972973
2,3745,0.871900826446281,0.6424050632911392,0.5157657657657657
3,3210,0.9099173553719008,0.6487341772151899,0.5518018018018018
4,3219,0.8107438016528926,0.6518987341772152,0.5675675675675675
5,6857,0.9347107438016529,0.6234177215189873,0.5720720720720721
6,1326,0.8785123966942149,0.6645569620253164,0.5720720720720721
7,8045,0.8016528925619835,0.6424050632911392,0.5337837837837838
8,8500,0.9107438016528926,0.6550632911392406,0.5540540540540541
9,8845,0.8033057851239669,0.6392405063291139,0.5563063063063063
10,2020,0.8512396694214877,0.6613924050632911,0.5495495495495496
11,2859,0.8132231404958677,0.6835443037974683,0.5990990990990991
12,7941,0.8198347107438017,0.6487341772151899,0.5608108108108109
13,826,0.9132231404958677,0.6424050632911392,0.5855855855855856
14,9065,0.8966942148760331,0.6360759493670886,0.5495495495495496
15,9540,0.8818181818181818,0.6835443037974683,0.5405405405405406
16,5042,0.7818181818181819,0.6487341772151899,0.509009009009009
17,3515,0.8289256198347107,0.6677215189873418,0.5630630630630631
18,8022,0.9206611570247933,0.6455696202531646,0.5630630630630631
19,616,0.9578512396694215,0.6455696202531646,0.5833333333333334
20,437,0.8024793388429752,0.6329113924050633,0.5540540540540541
