id,learning_rate,dropout_prob,seed,train_acc,dev_acc,test_acc
0,0.3,0.0,42,0.8322314049586776,0.5981012658227848,0.5247747747747747
1,0.3,0.1,42,0.7479338842975206,0.6582278481012658,0.5247747747747747
2,0.2,0.0,42,0.771900826446281,0.6487341772151899,0.536036036036036
3,0.2,0.1,42,0.7677685950413223,0.6550632911392406,0.5315315315315315
4,0.1,0.0,42,0.8132231404958677,0.6424050632911392,0.5382882882882883
5,0.1,0.1,42,0.8264462809917356,0.6613924050632911,0.5382882882882883
6,0.09,0.0,42,0.8305785123966942,0.6329113924050633,0.5292792792792793
7,0.09,0.1,42,0.828099173553719,0.6550632911392406,0.5225225225225225
8,0.08,0.0,42,0.8330578512396695,0.6360759493670886,0.5427927927927928
9,0.08,0.1,42,0.8173553719008264,0.6360759493670886,0.5518018018018018
