run_no,seed,train,dev,test
1,1824,0.8008264462809918,0.6645569620253164,0.5608108108108109
2,3745,0.784297520661157,0.6740506329113924,0.5427927927927928
3,3210,0.9206611570247933,0.6487341772151899,0.5540540540540541
4,3219,0.8082644628099174,0.6550632911392406,0.5563063063063063
5,6857,0.912396694214876,0.6455696202531646,0.545045045045045
6,1326,0.8966942148760331,0.6677215189873418,0.5405405405405406
7,8045,0.7818181818181819,0.6360759493670886,0.5563063063063063
8,8500,0.9545454545454546,0.6645569620253164,0.5608108108108109
9,8845,0.9702479338842975,0.6677215189873418,0.5630630630630631
10,2020,0.8198347107438017,0.6455696202531646,0.5698198198198198
11,2859,0.9603305785123967,0.6360759493670886,0.5720720720720721
12,7941,0.824793388429752,0.6487341772151899,0.5855855855855856
13,826,0.8661157024793389,0.6677215189873418,0.5585585585585585
14,9065,0.968595041322314,0.6424050632911392,0.545045045045045
15,9540,0.7950413223140496,0.6708860759493671,0.5518018018018018
16,5042,0.7933884297520661,0.6772151898734177,0.5653153153153153
17,3515,0.8256198347107438,0.6487341772151899,0.5675675675675675
18,8022,0.8661157024793389,0.6455696202531646,0.5518018018018018
19,616,0.7975206611570248,0.6265822784810127,0.5337837837837838
20,437,0.9256198347107438,0.6677215189873418,0.545045045045045
