run_no,seed,train,dev,test
1,5514,1.0,0.689873417721519,0.7139639639639641
2,5426,0.5958677685950413,0.569620253164557,0.6036036036036037
3,6820,1.0,0.7436708860759493,0.7364864864864865
4,1000,0.8223140495867769,0.6645569620253164,0.7094594594594594
5,1385,0.9966942148760328,0.7310126582278481,0.7072072072072072
6,6230,0.7016528925619835,0.6265822784810127,0.5945945945945946
7,6673,0.631404958677686,0.6392405063291139,0.4842342342342342
8,7274,0.9884297520661156,0.7405063291139241,0.7297297297297297
9,8325,0.6429752066115703,0.6518987341772152,0.4932432432432433
10,67,1.0,0.7246835443037974,0.7387387387387387
11,2503,0.9842975206611568,0.689873417721519,0.6959459459459459
12,7897,1.0,0.7531645569620253,0.740990990990991
13,415,0.6462809917355372,0.6677215189873418,0.5202702702702703
14,8361,1.0,0.7310126582278481,0.7297297297297297
15,4574,1.0,0.75,0.7702702702702703
16,2150,0.9793388429752066,0.75,0.7207207207207207
17,8065,0.8925619834710744,0.7278481012658228,0.6959459459459459
18,3305,0.9991735537190084,0.7405063291139241,0.7184684684684685
19,9304,0.8636363636363636,0.6677215189873418,0.5765765765765766
20,9340,0.9793388429752066,0.75,0.7387387387387387
