run_no,seed,train,dev,test,test_adv
1,3636,0.453305785123967,0.5,0.4774774774774775,0.5225225225225225
2,7182,0.6809917355371901,0.5,0.5720720720720721,0.427927927927928
3,6313,0.7123966942148761,0.5,0.5923423423423423,0.4076576576576577
4,7344,0.6743801652892562,0.5,0.5292792792792793,0.4707207207207208
5,9668,0.4309917355371901,0.5,0.4684684684684685,0.5315315315315315
6,3807,0.4768595041322314,0.5,0.5112612612612613,0.4887387387387387
7,5182,0.5615702479338843,0.5,0.5225225225225225,0.4774774774774775
8,698,0.5206611570247934,0.5,0.4774774774774775,0.5225225225225225
9,5923,0.4768595041322314,0.5,0.509009009009009,0.49099099099099097
10,482,0.5392561983471075,0.5,0.5157657657657657,0.4842342342342342
11,8537,0.4504132231404959,0.5,0.5,0.5
12,8610,0.8694214876033057,0.5,0.6756756756756757,0.32432432432432434
13,7832,0.4743801652892562,0.5,0.5135135135135135,0.4864864864864865
14,6742,0.5743801652892562,0.5,0.5563063063063063,0.4436936936936937
15,2048,0.5148760330578512,0.5,0.4887387387387387,0.5112612612612613
16,4732,0.5066115702479339,0.5,0.490990990990991,0.509009009009009
17,4158,0.5016528925619834,0.5,0.5675675675675675,0.43243243243243246
18,1819,0.5768595041322314,0.5,0.5180180180180181,0.481981981981982
19,7380,0.5504132231404959,0.5,0.5540540540540541,0.44594594594594594
20,8155,0.5070247933884298,0.5,0.49099099099099097,0.509009009009009
