run_no,seed,train,dev,test
1,4061,0.5644628099173554,0.569620253164557,0.4459459459459459
2,5199,0.6165289256198347,0.6107594936708861,0.47297297297297297
3,5053,0.5619834710743802,0.5284810126582279,0.5112612612612613
4,2333,0.6586776859504132,0.6550632911392406,0.4887387387387387
5,5597,1.0,0.7246835443037974,0.7319819819819819
6,2679,0.9991735537190084,0.7310126582278481,0.7162162162162162
7,1470,0.640495867768595,0.6392405063291139,0.4977477477477478
8,7451,0.6512396694214876,0.620253164556962,0.4932432432432433
9,1043,0.5413223140495868,0.569620253164557,0.5157657657657657
10,8046,0.5479338842975207,0.6012658227848101,0.5157657657657657
11,8985,0.6173553719008265,0.6170886075949367,0.509009009009009
12,6741,0.6371900826446281,0.6518987341772152,0.4864864864864865
