run_no,seed,train,dev,test
1,1824,0.7570247933884298,0.6424050632911392,0.5225225225225225
2,3745,0.768595041322314,0.6518987341772152,0.5247747747747747
3,3210,0.7710743801652893,0.6455696202531646,0.5675675675675675
4,3219,0.7644628099173554,0.6708860759493671,0.536036036036036
5,6857,0.7223140495867768,0.6613924050632911,0.5630630630630631
6,1326,0.7669421487603306,0.6740506329113924,0.5720720720720721
7,8045,0.7528925619834711,0.6487341772151899,0.5540540540540541
8,8500,0.7851239669421488,0.6708860759493671,0.5405405405405406
9,8845,0.7636363636363637,0.6550632911392406,0.5833333333333334
10,2020,0.7785123966942149,0.6708860759493671,0.5540540540540541
11,2859,0.7818181818181819,0.6518987341772152,0.5563063063063063
12,7941,0.7429752066115702,0.6265822784810127,0.5923423423423423
13,826,0.7570247933884298,0.6613924050632911,0.5292792792792793
14,9065,0.8404958677685951,0.680379746835443,0.5292792792792793
15,9540,0.9553719008264463,0.6645569620253164,0.5720720720720721
16,5042,0.7975206611570248,0.6613924050632911,0.5698198198198198
17,3515,0.8082644628099174,0.6613924050632911,0.5585585585585585
18,8022,0.7793388429752066,0.6424050632911392,0.5427927927927928
19,616,0.759504132231405,0.6613924050632911,0.5427927927927928
20,437,0.7214876033057851,0.6550632911392406,0.5292792792792793
