run_no,seed,train,dev,test,test_adv
1,1824,0.8314049586776859,0.5,0.5698198198198198,0.43018018018018017
2,3745,0.765702479338843,0.49683544303797467,0.5990990990990991,0.40540540540540543
3,3210,0.797107438016529,0.5,0.5990990990990991,0.4009009009009009
4,3219,0.8107438016528926,0.49841772151898733,0.5653153153153153,0.4369369369369369
5,6857,0.7549586776859504,0.5015822784810127,0.5337837837837838,0.46396396396396394
6,1326,0.7768595041322314,0.5031645569620253,0.5427927927927928,0.45495495495495497
7,8045,0.8351239669421487,0.49841772151898733,0.5337837837837838,0.46846846846846846
8,8500,0.7661157024793388,0.5031645569620253,0.5540540540540541,0.4436936936936937
9,8845,0.8442148760330579,0.49841772151898733,0.5518018018018018,0.44594594594594594
10,2020,0.7880165289256198,0.5,0.5698198198198198,0.43018018018018017
11,2859,0.7673553719008265,0.5,0.5675675675675675,0.43243243243243246
12,7941,0.7727272727272727,0.5,0.5495495495495496,0.4527027027027027
13,826,0.797107438016529,0.5,0.5608108108108109,0.4346846846846847
14,9065,0.7900826446280992,0.5015822784810127,0.5518018018018018,0.44819819819819817
15,9540,0.7991735537190082,0.5015822784810127,0.5518018018018018,0.45045045045045046
16,5042,0.7830578512396694,0.49841772151898733,0.545045045045045,0.4617117117117117
17,3515,0.7636363636363637,0.5,0.5720720720720721,0.43243243243243246
18,8022,0.7698347107438016,0.5015822784810127,0.5292792792792793,0.46846846846846846
19,616,0.7987603305785124,0.5,0.5765765765765766,0.42567567567567566
20,437,0.7698347107438016,0.5015822784810127,0.5788288288288288,0.42117117117117114
