run_no,seed,train,dev,test
1,1824,0.7818181818181819,0.6772151898734177,0.5653153153153153
2,3745,0.7917355371900826,0.6708860759493671,0.5563063063063063
3,3210,0.8049586776859504,0.6708860759493671,0.5675675675675675
4,3219,0.7512396694214876,0.689873417721519,0.5495495495495496
5,6857,0.756198347107438,0.6740506329113924,0.5540540540540541
6,1326,0.7876033057851239,0.6582278481012658,0.6013513513513513
7,8045,0.78099173553719,0.6930379746835443,0.536036036036036
8,8500,0.8008264462809918,0.6645569620253164,0.5495495495495496
9,8845,0.715702479338843,0.6487341772151899,0.5495495495495496
10,2020,0.7710743801652893,0.6677215189873418,0.509009009009009
11,2859,0.7768595041322314,0.6455696202531646,0.5495495495495496
12,7941,0.7917355371900826,0.6487341772151899,0.5315315315315315
13,826,0.8206611570247934,0.6518987341772152,0.5337837837837838
14,9065,0.7917355371900826,0.6424050632911392,0.5743243243243243
15,9540,0.8396694214876033,0.6835443037974683,0.5540540540540541
16,5042,0.7214876033057851,0.6424050632911392,0.5698198198198198
17,3515,0.7710743801652893,0.6424050632911392,0.5382882882882883
18,8022,0.7834710743801653,0.6708860759493671,0.545045045045045
19,616,0.7380165289256199,0.6677215189873418,0.5495495495495496
20,437,0.7760330578512397,0.6708860759493671,0.5518018018018018
