run_no,seed,train,dev,test
1,1824,0.7900826446280992,0.6613924050632911,0.5337837837837838
2,3745,0.7256198347107438,0.6329113924050633,0.5472972972972973
3,3210,0.7826446280991736,0.6360759493670886,0.5382882882882883
4,3219,0.7388429752066116,0.6265822784810127,0.5382882882882883
5,6857,0.8256198347107438,0.6645569620253164,0.5675675675675675
6,1326,0.8363636363636363,0.6708860759493671,0.5720720720720721
7,8045,0.8024793388429752,0.6424050632911392,0.5337837837837838
8,8500,0.7264462809917356,0.6613924050632911,0.5
9,8845,0.7264462809917356,0.6550632911392406,0.5382882882882883
10,2020,0.7297520661157024,0.6677215189873418,0.5675675675675675
11,2859,0.7454545454545455,0.680379746835443,0.5608108108108109
12,7941,0.7628099173553718,0.6708860759493671,0.5540540540540541
13,826,0.9652892561983472,0.6360759493670886,0.5653153153153153
14,9065,0.7743801652892562,0.6487341772151899,0.5675675675675675
15,9540,0.7603305785123967,0.6455696202531646,0.5765765765765766
16,5042,0.8049586776859504,0.6360759493670886,0.545045045045045
17,3515,0.8115702479338843,0.6487341772151899,0.5382882882882883
18,8022,0.7272727272727273,0.6392405063291139,0.5225225225225225
19,616,0.9578512396694215,0.6329113924050633,0.5653153153153153
20,437,0.728099173553719,0.6265822784810127,0.5540540540540541
