run_no,seed,train,dev,test
1,1824,0.7710743801652893,0.6550632911392406,0.5540540540540541
2,3745,0.7553719008264462,0.6392405063291139,0.5337837837837838
3,3210,0.7768595041322314,0.6487341772151899,0.5608108108108109
4,3219,0.7545454545454545,0.6139240506329114,0.5765765765765766
5,6857,0.8446280991735537,0.6487341772151899,0.5585585585585585
6,1326,0.7578512396694215,0.6392405063291139,0.5427927927927928
7,8045,0.756198347107438,0.6455696202531646,0.5563063063063063
8,8500,0.7991735537190082,0.6645569620253164,0.5653153153153153
9,8845,0.824793388429752,0.6708860759493671,0.5472972972972973
10,2020,0.7504132231404959,0.680379746835443,0.545045045045045
11,2859,0.8148760330578513,0.6613924050632911,0.5202702702702703
12,7941,0.8107438016528926,0.6487341772151899,0.5382882882882883
13,826,0.9487603305785124,0.6518987341772152,0.545045045045045
14,9065,0.7603305785123967,0.6582278481012658,0.5765765765765766
15,9540,0.7818181818181819,0.6518987341772152,0.509009009009009
16,5042,0.743801652892562,0.6677215189873418,0.536036036036036
17,3515,0.9942148760330578,0.6424050632911392,0.5427927927927928
18,8022,0.8297520661157025,0.6613924050632911,0.5698198198198198
19,616,0.7661157024793388,0.6550632911392406,0.5765765765765766
20,437,0.7528925619834711,0.6582278481012658,0.5472972972972973
