id,learning_rate,n_train_epochs,dropout_prob,train_batch_size,seed,train_acc,dev_acc,test_acc
0.0,0.1,3.0,0.0,16.0,42,0.947107438016529,0.495253164556962,0.527027027027027
1.0,0.1,3.0,0.0,32.0,42,0.9301652892561983,0.49841772151898733,0.5878378378378378
2.0,0.1,3.0,0.0,64.0,42,0.9351239669421487,0.49841772151898733,0.6216216216216216
3.0,0.1,3.0,0.1,16.0,42,0.9590909090909091,0.504746835443038,0.5518018018018018
4.0,0.1,3.0,0.1,32.0,42,0.9855371900826446,0.5,0.5720720720720721
5.0,0.1,3.0,0.1,64.0,42,0.9107438016528926,0.49841772151898733,0.5675675675675675
6.0,0.1,5.0,0.0,16.0,42,0.9615702479338843,0.5,0.5608108108108109
7.0,0.1,5.0,0.0,32.0,42,0.9301652892561983,0.49841772151898733,0.5878378378378378
8.0,0.1,5.0,0.0,64.0,42,0.9351239669421487,0.49841772151898733,0.6216216216216216
9.0,0.1,5.0,0.1,16.0,42,0.9590909090909091,0.504746835443038,0.5518018018018018
10.0,0.1,5.0,0.1,32.0,42,0.9855371900826446,0.5,0.5720720720720721
11.0,0.1,5.0,0.1,64.0,42,0.9107438016528926,0.49841772151898733,0.5675675675675675
12.0,0.09,3.0,0.0,16.0,42,0.9681818181818181,0.5031645569620253,0.5630630630630631
13.0,0.09,3.0,0.0,32.0,42,0.9880165289256199,0.49841772151898733,0.5743243243243243
14.0,0.09,3.0,0.0,64.0,42,0.9351239669421487,0.5,0.6396396396396397
15.0,0.09,3.0,0.1,16.0,42,0.8644628099173554,0.49841772151898733,0.5563063063063063
16.0,0.09,3.0,0.1,32.0,42,0.8851239669421488,0.5,0.581081081081081
17.0,0.09,3.0,0.1,64.0,42,0.9140495867768595,0.49841772151898733,0.5878378378378378
18.0,0.09,5.0,0.0,16.0,42,0.9681818181818181,0.5031645569620253,0.5630630630630631
19.0,0.09,5.0,0.0,32.0,42,0.9880165289256199,0.49841772151898733,0.5743243243243243
20.0,0.09,5.0,0.0,64.0,42,0.9351239669421487,0.5,0.6396396396396397
21.0,0.09,5.0,0.1,16.0,42,0.8644628099173554,0.49841772151898733,0.5563063063063063
22.0,0.09,5.0,0.1,32.0,42,0.8851239669421488,0.5,0.581081081081081
23.0,0.09,5.0,0.1,64.0,42,0.9140495867768595,0.49841772151898733,0.5878378378378378
24.0,0.08,3.0,0.0,16.0,42,0.9764462809917356,0.49841772151898733,0.5608108108108109
25.0,0.08,3.0,0.0,32.0,42,0.9454545454545454,0.49841772151898733,0.6081081081081081
26.0,0.08,3.0,0.0,64.0,42,0.9363636363636364,0.5,0.6036036036036037
27.0,0.08,3.0,0.1,16.0,42,0.9566115702479339,0.5,0.5563063063063063
28.0,0.08,3.0,0.1,32.0,42,0.8838842975206611,0.5015822784810127,0.6148648648648649
29.0,0.08,3.0,0.1,64.0,42,0.9185950413223141,0.49841772151898733,0.5743243243243243
30.0,0.08,5.0,0.0,16.0,42,0.9764462809917356,0.49841772151898733,0.5608108108108109
31.0,0.08,5.0,0.0,32.0,42,0.9454545454545454,0.49841772151898733,0.6081081081081081
32.0,0.08,5.0,0.0,64.0,42,0.9363636363636364,0.5,0.6036036036036037
33.0,0.08,5.0,0.1,16.0,42,0.9566115702479339,0.5,0.5563063063063063
34.0,0.08,5.0,0.1,32.0,42,0.8838842975206611,0.5015822784810127,0.6148648648648649
35.0,0.08,5.0,0.1,64.0,42,0.9185950413223141,0.49841772151898733,0.5743243243243243
3.0,0.1,3.0,0.1,16.0,1824,0.9359504132231405,0.49841772151898733,0.5855855855855856
9.0,0.1,5.0,0.1,16.0,1824,0.9413223140495868,0.5,0.5698198198198198
3.0,0.1,3.0,0.1,16.0,3745,0.8607438016528925,0.5015822784810127,0.5743243243243243
9.0,0.1,5.0,0.1,16.0,3745,0.9512396694214876,0.5,0.5720720720720721
3.0,0.1,3.0,0.1,16.0,3210,0.8644628099173554,0.5015822784810127,0.5630630630630631
9.0,0.1,5.0,0.1,16.0,3210,0.9541322314049587,0.49683544303797467,0.545045045045045
3.0,0.1,3.0,0.1,16.0,3219,0.9425619834710743,0.5031645569620253,0.5518018018018018
9.0,0.1,5.0,0.1,16.0,3219,0.9227272727272727,0.504746835443038,0.5427927927927928
3.0,0.1,3.0,0.1,16.0,6857,0.9710743801652892,0.5015822784810127,0.536036036036036
9.0,0.1,5.0,0.1,16.0,6857,0.9256198347107438,0.5,0.5878378378378378
