run_no,seed,train,dev,test
1,1326,0.7578512396694215,0.620253164556962,0.5495495495495496
2,8045,0.9735537190082645,0.629746835443038,0.5743243243243243
3,8500,0.7636363636363637,0.6170886075949367,0.4954954954954955
4,8845,0.9694214876033058,0.6265822784810127,0.5720720720720721
5,2020,0.7611570247933884,0.629746835443038,0.5495495495495496
6,2859,0.7801652892561983,0.6392405063291139,0.5585585585585585
7,7941,0.9140495867768595,0.6708860759493671,0.5315315315315315
8,826,0.7528925619834711,0.629746835443038,0.527027027027027
9,9065,0.7636363636363637,0.6360759493670886,0.5157657657657657
10,9540,0.7628099173553718,0.6139240506329114,0.5382882882882883
11,5042,0.8900826446280992,0.629746835443038,0.5427927927927928
12,3515,0.7528925619834711,0.629746835443038,0.5518018018018018
13,8022,0.7760330578512397,0.6075949367088608,0.545045045045045
14,616,0.7892561983471075,0.6360759493670886,0.527027027027027
15,437,0.7520661157024794,0.6360759493670886,0.5427927927927928
16,8697,0.8024793388429752,0.6107594936708861,0.5653153153153153
17,8043,0.9570247933884297,0.6518987341772152,0.5878378378378378
18,5862,0.9628099173553719,0.689873417721519,0.5608108108108109
19,9885,0.7933884297520661,0.6487341772151899,0.5247747747747747
20,6402,0.9198347107438016,0.6487341772151899,0.536036036036036
