run_no,seed,train,dev,test
1,1824,0.7710743801652893,0.6582278481012658,0.5720720720720721
2,3745,0.7958677685950413,0.6455696202531646,0.5427927927927928
3,3210,0.8256198347107438,0.6487341772151899,0.5495495495495496
4,3219,0.9570247933884297,0.6677215189873418,0.5765765765765766
5,6857,0.9578512396694215,0.6455696202531646,0.6058558558558559
6,1326,0.9727272727272728,0.6424050632911392,0.5720720720720721
7,8045,0.956198347107438,0.6455696202531646,0.5720720720720721
8,8500,0.8190082644628099,0.6550632911392406,0.5405405405405406
9,8845,0.7892561983471075,0.6424050632911392,0.5585585585585585
10,2020,0.8132231404958677,0.6392405063291139,0.5405405405405406
11,2859,0.8429752066115702,0.6139240506329114,0.6058558558558559
12,7941,0.956198347107438,0.6487341772151899,0.5923423423423423
13,826,0.8082644628099174,0.6518987341772152,0.5472972972972973
14,9065,0.9884297520661157,0.6772151898734177,0.5900900900900901
15,9540,0.7884297520661157,0.6424050632911392,0.5472972972972973
16,5042,0.8132231404958677,0.6550632911392406,0.5833333333333334
17,3515,0.8082644628099174,0.6487341772151899,0.5900900900900901
18,8022,0.7900826446280992,0.6613924050632911,0.5585585585585585
19,616,0.8140495867768595,0.6487341772151899,0.5765765765765766
20,437,0.8132231404958677,0.6360759493670886,0.5225225225225225
