id,learning_rate,dropout_prob,seed,train_acc,dev_acc,test_acc
0,0.3,0.0,42,0.731404958677686,0.6139240506329114,0.5315315315315315
1,0.3,0.1,42,0.9363636363636364,0.6424050632911392,0.5653153153153153
2,0.2,0.0,42,0.7768595041322314,0.6550632911392406,0.5608108108108109
3,0.2,0.1,42,0.9223140495867769,0.6518987341772152,0.5495495495495496
4,0.1,0.0,42,0.815702479338843,0.620253164556962,0.5315315315315315
5,0.1,0.1,42,0.8148760330578513,0.6518987341772152,0.5563063063063063
6,0.09,0.0,42,0.824793388429752,0.6360759493670886,0.5540540540540541
7,0.09,0.1,42,0.8264462809917356,0.6582278481012658,0.545045045045045
8,0.08,0.0,42,0.8338842975206612,0.6360759493670886,0.545045045045045
9,0.08,0.1,42,0.990909090909091,0.6740506329113924,0.5788288288288288
